x,y
1.0000000000,0.0012600000
0.9997482712,0.0012953146
0.9989933382,0.0014011567
0.9977359613,0.0015772226
0.9959774064,0.0018230082
0.9937194443,0.0021378127
0.9909643486,0.0025207437
0.9877148934,0.0029707231
0.9839743507,0.0034864945
0.9797464868,0.0040666315
0.9750355589,0.0047095469
0.9698463104,0.0054135027
0.9641839665,0.0061766208
0.9580542287,0.0069968937
0.9514632691,0.0078721962
0.9444177243,0.0088002962
0.9369246885,0.0097788663
0.9289917066,0.0108054945
0.9206267664,0.0118776947
0.9118382907,0.0129929169
0.9026351288,0.0141485560
0.8930265474,0.0153419603
0.8830222216,0.0165704389
0.8726322248,0.0178312679
0.8618670191,0.0191216956
0.8507374439,0.0204389468
0.8392547058,0.0217802255
0.8274303670,0.0231427167
0.8152763335,0.0245235873
0.8028048436,0.0259199852
0.7900284548,0.0273290387
0.7769600319,0.0287478536
0.7636127338,0.0301735108
0.7500000000,0.0316030623
0.7361355374,0.0330335278
0.7220333063,0.0344618899
0.7077075065,0.0358850906
0.6931725628,0.0373000264
0.6784431108,0.0387035449
0.6635339817,0.0400924414
0.6484601877,0.0414634565
0.6332369068,0.0428132740
0.6178794678,0.0441385205
0.6024033340,0.0454357657
0.5868240888,0.0467015247
0.5711574191,0.0479322608
0.5554191000,0.0491243909
0.5396249784,0.0502742917
0.5237909579,0.0513783080
0.5079329819,0.0524327627
0.4920670181,0.0534339679
0.4762090421,0.0543782386
0.4603750216,0.0552619070
0.4445809000,0.0560813388
0.4288425809,0.0568329503
0.4131759112,0.0575132269
0.3975966660,0.0581187430
0.3821205322,0.0586461812
0.3667630932,0.0590923538
0.3515398123,0.0594542227
0.3364660183,0.0597289207
0.3215568892,0.0599137716
0.3068274372,0.0600063099
0.2922924935,0.0600042997
0.2779666937,0.0599057523
0.2638644626,0.0597089422
0.2500000000,0.0594124219
0.2363872662,0.0590150337
0.2230399681,0.0585159205
0.2099715452,0.0579145333
0.1971951564,0.0572106364
0.1847236665,0.0564043097
0.1725696330,0.0554959485
0.1607452942,0.0544862601
0.1492625561,0.0533762574
0.1381329809,0.0521672494
0.1273677752,0.0508608289
0.1169777784,0.0494588579
0.1069734526,0.0479634488
0.0973648712,0.0463769444
0.0881617093,0.0447018950
0.0793732336,0.0429410330
0.0710082934,0.0410972459
0.0630753115,0.0391735478
0.0555822757,0.0371730491
0.0485367309,0.0350989256
0.0419457713,0.0329543870
0.0358160335,0.0307426445
0.0301536896,0.0284668796
0.0249644411,0.0261302120
0.0202535132,0.0237356698
0.0160256493,0.0212861596
0.0122851066,0.0187844389
0.0090356514,0.0162330903
0.0062805557,0.0136344981
0.0040225936,0.0109908265
0.0022640387,0.0083040018
0.0010066618,0.0055756968
0.0002517288,0.0028073187
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0002517288,-0.0028073187
0.0010066618,-0.0055756968
0.0022640387,-0.0083040018
0.0040225936,-0.0109908265
0.0062805557,-0.0136344981
0.0090356514,-0.0162330903
0.0122851066,-0.0187844389
0.0160256493,-0.0212861596
0.0202535132,-0.0237356698
0.0249644411,-0.0261302120
0.0301536896,-0.0284668796
0.0358160335,-0.0307426445
0.0419457713,-0.0329543870
0.0485367309,-0.0350989256
0.0555822757,-0.0371730491
0.0630753115,-0.0391735478
0.0710082934,-0.0410972459
0.0793732336,-0.0429410330
0.0881617093,-0.0447018950
0.0973648712,-0.0463769444
0.1069734526,-0.0479634488
0.1169777784,-0.0494588579
0.1273677752,-0.0508608289
0.1381329809,-0.0521672494
0.1492625561,-0.0533762574
0.1607452942,-0.0544862601
0.1725696330,-0.0554959485
0.1847236665,-0.0564043097
0.1971951564,-0.0572106364
0.2099715452,-0.0579145333
0.2230399681,-0.0585159205
0.2363872662,-0.0590150337
0.2500000000,-0.0594124219
0.2638644626,-0.0597089422
0.2779666937,-0.0599057523
0.2922924935,-0.0600042997
0.3068274372,-0.0600063099
0.3215568892,-0.0599137716
0.3364660183,-0.0597289207
0.3515398123,-0.0594542227
0.3667630932,-0.0590923538
0.3821205322,-0.0586461812
0.3975966660,-0.0581187430
0.4131759112,-0.0575132269
0.4288425809,-0.0568329503
0.4445809000,-0.0560813388
0.4603750216,-0.0552619070
0.4762090421,-0.0543782386
0.4920670181,-0.0534339679
0.5079329819,-0.0524327627
0.5237909579,-0.0513783080
0.5396249784,-0.0502742917
0.5554191000,-0.0491243909
0.5711574191,-0.0479322608
0.5868240888,-0.0467015247
0.6024033340,-0.0454357657
0.6178794678,-0.0441385205
0.6332369068,-0.0428132740
0.6484601877,-0.0414634565
0.6635339817,-0.0400924414
0.6784431108,-0.0387035449
0.6931725628,-0.0373000264
0.7077075065,-0.0358850906
0.7220333063,-0.0344618899
0.7361355374,-0.0330335278
0.7500000000,-0.0316030623
0.7636127338,-0.0301735108
0.7769600319,-0.0287478536
0.7900284548,-0.0273290387
0.8028048436,-0.0259199852
0.8152763335,-0.0245235873
0.8274303670,-0.0231427167
0.8392547058,-0.0217802255
0.8507374439,-0.0204389468
0.8618670191,-0.0191216956
0.8726322248,-0.0178312679
0.8830222216,-0.0165704389
0.8930265474,-0.0153419603
0.9026351288,-0.0141485560
0.9118382907,-0.0129929169
0.9206267664,-0.0118776947
0.9289917066,-0.0108054945
0.9369246885,-0.0097788663
0.9444177243,-0.0088002962
0.9514632691,-0.0078721962
0.9580542287,-0.0069968937
0.9641839665,-0.0061766208
0.9698463104,-0.0054135027
0.9750355589,-0.0047095469
0.9797464868,-0.0040666315
0.9839743507,-0.0034864945
0.9877148934,-0.0029707231
0.9909643486,-0.0025207437
